gw1nr2-002,GW1NR-LV2MG49PGC7/I6,GW1NR,GW1NR-2,MBGA49PG,LV,C7/I6,7,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nr2-003,GW1NR-UV2MG49PGC7/I6,GW1NR,GW1NR-2,MBGA49PG,UV,C7/I6,7,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nr2-004,GW1NR-LV2MG49GC7/I6,GW1NR,GW1NR-2,MBGA49G,LV,C7/I6,7,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nr2-005,GW1NR-UV2MG49GC7/I6,GW1NR,GW1NR-2,MBGA49G,UV,C7/I6,7,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nr2-006,GW1NR-LV2MG49PC6/I5,GW1NR,GW1NR-2,MBGA49P,LV,C6/I5,6,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nr2-007,GW1NR-UV2MG49PC6/I5,GW1NR,GW1NR-2,MBGA49P,UV,C6/I5,6,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nr2-008,GW1NR-LV2MG49PGC6/I5,GW1NR,GW1NR-2,MBGA49PG,LV,C6/I5,6,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nr2-009,GW1NR-UV2MG49PGC6/I5,GW1NR,GW1NR-2,MBGA49PG,UV,C6/I5,6,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nr2-010,GW1NR-UV2MG49GC6/I5,GW1NR,GW1NR-2,MBGA49G,UV,C6/I5,6,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nzr2-000,GW1NZR-LV2QN48PC6/I5,GW1NZR,GW1NZR-2,QFN48P,LV,C6/I5,6,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1n4-000,GW1N-LV4QN32C6/I5,GW1N,GW1N-4,QFN32,LV,C6/I5,6,24,4608,3456,,180Kb,256Kb,16,2,
gw1n4-001,GW1N-LV4QN32C5/I4,GW1N,GW1N-4,QFN32,LV,C5/I4,5,24,4608,3456,,180Kb,256Kb,16,2,
gw1n4-002,GW1N-LV4QN48C6/I5,GW1N,GW1N-4,QFN48,LV,C6/I5,6,41,4608,3456,,180Kb,256Kb,16,2,
gw1n4-003,GW1N-LV4QN48C5/I4,GW1N,GW1N-4,QFN48,LV,C5/I4,5,41,4608,3456,,180Kb,256Kb,16,2,
gw1n4-004,GW1N-LV4QN88C6/I5,GW1N,GW1N-4,QFN88,LV,C6/I5,6,71,4608,3456,,180Kb,256Kb,16,2,
gw1n4-005,GW1N-LV4QN88C5/I4,GW1N,GW1N-4,QFN88,LV,C5/I4,5,71,4608,3456,,180Kb,256Kb,16,2,
gw1n4-006,GW1N-LV4QN88A4,GW1N,GW1N-4,QFN88,LV,A4,4,71,4608,3456,,180Kb,256Kb,16,2,
gw1n4-007,GW1N-LV4CS72C6/I5,GW1N,GW1N-4,WLCSP72,LV,C6/I5,6,58,4608,3456,,180Kb,256Kb,16,2,
gw1n4-008,GW1N-LV4CS72C5/I4,GW1N,GW1N-4,WLCSP72,LV,C5/I4,5,58,4608,3456,,180Kb,256Kb,16,2,
gw1n4-009,GW1N-LV4LQ100C6/I5,GW1N,GW1N-4,LQFP100,LV,C6/I5,6,80,4608,3456,,180Kb,256Kb,16,2,
gw1n4-010,GW1N-LV4LQ100C5/I4,GW1N,GW1N-4,LQFP100,LV,C5/I4,5,80,4608,3456,,180Kb,256Kb,16,2,
gw1n4-011,GW1N-LV4LQ144C6/I5,GW1N,GW1N-4,LQFP144,LV,C6/I5,6,120,4608,3456,,180Kb,256Kb,16,2,
gw1n4-012,GW1N-LV4LQ144C5/I4,GW1N,GW1N-4,LQFP144,LV,C5/I4,5,120,4608,3456,,180Kb,256Kb,16,2,
gw1n4-013,GW1N-LV4MG160C6/I5,GW1N,GW1N-4,MBGA160,LV,C6/I5,6,132,4608,3456,,180Kb,256Kb,16,2,
gw1n4-014,GW1N-LV4MG160C5/I4,GW1N,GW1N-4,MBGA160,LV,C5/I4,5,132,4608,3456,,180Kb,256Kb,16,2,
gw1n4-015,GW1N-LV4PG256C6/I5,GW1N,GW1N-4,PBGA256,LV,C6/I5,6,208,4608,3456,,180Kb,256Kb,16,2,
gw1n4-016,GW1N-LV4PG256C5/I4,GW1N,GW1N-4,PBGA256,LV,C5/I4,5,208,4608,3456,,180Kb,256Kb,16,2,
gw1n4-017,GW1N-LV4PG256MC6/I5,GW1N,GW1N-4,PBGA256M,LV,C6/I5,6,208,4608,3456,,180Kb,256Kb,16,2,
gw1n4-018,GW1N-LV4PG256MC5/I4,GW1N,GW1N-4,PBGA256M,LV,C5/I4,5,208,4608,3456,,180Kb,256Kb,16,2,
gw1n4-019,GW1N-UV4QN32C6/I5,GW1N,GW1N-4,QFN32,UV,C6/I5,6,24,4608,3456,,180Kb,256Kb,16,2,
gw1n4-020,GW1N-UV4QN32C5/I4,GW1N,GW1N-4,QFN32,UV,C5/I4,5,24,4608,3456,,180Kb,256Kb,16,2,
gw1n4-021,GW1N-UV4QN48C6/I5,GW1N,GW1N-4,QFN48,UV,C6/I5,6,41,4608,3456,,180Kb,256Kb,16,2,
gw1n4-022,GW1N-UV4QN48C5/I4,GW1N,GW1N-4,QFN48,UV,C5/I4,5,41,4608,3456,,180Kb,256Kb,16,2,
gw1n4-023,GW1N-UV4QN88C6/I5,GW1N,GW1N-4,QFN88,UV,C6/I5,6,71,4608,3456,,180Kb,256Kb,16,2,
gw1n4-024,GW1N-UV4QN88C5/I4,GW1N,GW1N-4,QFN88,UV,C5/I4,5,71,4608,3456,,180Kb,256Kb,16,2,
gw1n4-025,GW1N-UV4QN88A4,GW1N,GW1N-4,QFN88,UV,A4,4,71,4608,3456,,180Kb,256Kb,16,2,
gw1n4-026,GW1N-UV4CS72C6/I5,GW1N,GW1N-4,WLCSP72,UV,C6/I5,6,58,4608,3456,,180Kb,256Kb,16,2,
gw1n4-027,GW1N-UV4CS72C5/I4,GW1N,GW1N-4,WLCSP72,UV,C5/I4,5,58,4608,3456,,180Kb,256Kb,16,2,
gw1n4-028,GW1N-UV4LQ100C6/I5,GW1N,GW1N-4,LQFP100,UV,C6/I5,6,80,4608,3456,,180Kb,256Kb,16,2,
gw1n4-029,GW1N-UV4LQ100C5/I4,GW1N,GW1N-4,LQFP100,UV,C5/I4,5,80,4608,3456,,180Kb,256Kb,16,2,
gw1n4-030,GW1N-UV4LQ144C6/I5,GW1N,GW1N-4,LQFP144,UV,C6/I5,6,120,4608,3456,,180Kb,256Kb,16,2,
gw1n4-031,GW1N-UV4LQ144C5/I4,GW1N,GW1N-4,LQFP144,UV,C5/I4,5,120,4608,3456,,180Kb,256Kb,16,2,
gw1n4-032,GW1N-UV4MG160C6/I5,GW1N,GW1N-4,MBGA160,UV,C6/I5,6,132,4608,3456,,180Kb,256Kb,16,2,
gw1n4-033,GW1N-UV4MG160C5/I4,GW1N,GW1N-4,MBGA160,UV,C5/I4,5,132,4608,3456,,180Kb,256Kb,16,2,
gw1n4-034,GW1N-UV4PG256C6/I5,GW1N,GW1N-4,PBGA256,UV,C6/I5,6,208,4608,3456,,180Kb,256Kb,16,2,
gw1n4-035,GW1N-UV4PG256C5/I4,GW1N,GW1N-4,PBGA256,UV,C5/I4,5,208,4608,3456,,180Kb,256Kb,16,2,
